timetweet,isitweet,favcount,retwcount,id,name
2022-05-30 09:48:56,b'RT @maspiyuaja: Formula E Jakarta Pastikan Tak Pakai Jasa Pawang Hujan https://t.co/2XfqEU7a8s https://t.co/S8j4DeTL1j',0,1,1531211047545106432,amru_rohman
2022-05-30 09:48:55,"b'RT @yusuf_dumdum: Mereka tahu, karena DKI suka kelebihan bayar selama dipimpin gubernur pembohong. \n\nWagub DKI Jawab Commitment Fee Formula\xe2\x80\xa6'",0,3,1531211042453217281,AnggaD4ny
2022-05-30 09:48:47,"b'RT @8_cOFFe_8: Sebenernya Holdingnya F E ini juga sudah tau,jika gelaran formula E DKI ini sangat dipaksakan.\n\nTapi ya gmn lagi,demi popula\xe2\x80\xa6'",0,1,1531211007674425345,Lissong_aja
2022-05-30 09:48:46,"b'RT @yusuf_dumdum: Mereka tahu, karena DKI suka kelebihan bayar selama dipimpin gubernur pembohong. \n\nWagub DKI Jawab Commitment Fee Formula\xe2\x80\xa6'",0,3,1531211003958276097,moekartho
2022-05-30 09:48:42,"b'Jualan tiket Formula E ek dilakukan dengan segala cara saking ngga lakunya..\n1. Bundling dg hiburan dan wahana di Ancol.\n2. Bundling dg bir Haineken\n3. Ada juga lewat Bank\nSaran gw, bundling dg tiket ke syurga. \xf0\x9f\x98\x81\nTp tu sirkuit sudah dpt lisensi blm.? \n.\n.\nAnies Presiden PKS \xf0\x9f\x98\x81 https://t.co/36CP1ncln7'",0,0,1531210986929422336,Totok0912
2022-05-30 09:48:32,"b'RT @yusuf_dumdum: Mereka tahu, karena DKI suka kelebihan bayar selama dipimpin gubernur pembohong. \n\nWagub DKI Jawab Commitment Fee Formula\xe2\x80\xa6'",0,3,1531210944654635008,Dijei_Mc
2022-05-30 09:48:29,b'@bachrum_achmadi Dari pembangunan JIS dan Sirkuit formula e yang pekerjanya adalah lokal seharusnya kita bangga bukan malah dari TKA China wkwkwk',0,0,1531210932709302272,ImronRo36488747
2022-05-30 09:48:28,"b'RT @tvOneNews: Ini Daftar Sponsor Formula E, Kok Belum Ada Perusahaan BUMN? https://t.co/YLYXj4NGBG'",0,78,1531210929890676737,susidiansafitri
2022-05-30 09:48:26,"b'RT @MrsRachelIn: @tatakujiyati Gini kalau minim literasi \xf0\x9f\x98\x9c\nFormula E Holdings Limited,\xc2\xa0(FEH) adalah pemilik, promoter, dan perusahaan induk\xe2\x80\xa6'",0,5,1531210921456320512,aniezz479
2022-05-30 09:48:26,"b'RT @MrsRachelIn: FEH\xc2\xa0akan menggugat Pemprov DKI Jakarta, jika melanggar komitmen fee sesuai MoU sebesar Rp2,5 triliun atau 122 poundsterlin\xe2\x80\xa6'",0,90,1531210921262977024,Mandry8Gary
